# Seismic Stations - names
# Code, Name
SIPA,  Siparia (NEIC)
SLI,   Saint Lucia (Vigie Point) (NEIC)
SOA,   Owia, St Vincent
SRH,   Rilland Hill (NEIC)
STAT,  Sint Eustatius (Agricultural Station) (NEIC)
STMA,  St. Maarten; Airport (NEIC)
SVG,   Indian Gallows (NEIC)
SVI,   Saint Vincent (Questelles Point) (NEIC)
SVL,   Baleine (NEIC)
SVT,   Saint Vincent (Camden Park) (NEIC)
TBVI,  Tortola (NEIC)
TCHG,  Chaguaramas (NEIC)
TOB,   Tobago (Crown Point) (NEIC)
TTR,   Matura (NEIC)
VGVI,  Virgin Gorda (NEIC)
ANWB,  Willy Bob, Barbuda, Antigua and Barbuda (NEIC)
M01,   Silver Hills
M02,   Rendezvous Bay
M03,   Banks (Ken Allen's)
M04,   Geralds Airport
M05,   Lookout (Tappy's house)
M06,   David Lea
M07,   Water Tank
M08,   Mongo Hill
M09,   Statue Rock
M10,   Royal Palm
M11,   Pelican's Nest
M12,   Traveller's Palm
M13,   Sea Dreams
M14,   MVO
M15,   Air Studios
M16,   Isles Bay
M17,   Garibaldi Hill (East)
M18,   St. Georges Hill (Top)
M19,   Lee's
M20,   Foxes Bay
M21,   Richmond Hill
M22,   Kinsale
M23,   St. Patricks
M24,   Ogarra,
M25,   Shoe Rock
M26,   Tar River
M27,   Jack Boy
M28,   Bramble Airport
M32,   White's Yard
M30,   South Soufriere Hills (Heli)
M31,   Spanish Point
DTRR,  Three Rivers Eco Lodge, Dominica
MBRV,  Rendezvous, Montserrat
MBJH,  Jack Boy Hill, Montserrat
AIRS,  Air Studios, Montserrat
TRNT,  Trants, Montserrat
OLVT,  Olveston, Montserrat
OLV1,  Olveston, Montserrat
GERS,  Geralds, Montserrat
DLPL,  La Plaine, Dominica
TOSP,  Speyside, Tobago
AOPR,  Arecibo Observatory, Puerto Rico
MWF,   Farrells, Montserrat
MWL,   Salem, Montserrat
MWI,   The Grove, Montserrat
MWP,   St. Patrick's, Montserrat
MBWW,  Waterworks, Montserrat
MBW1,  Waterworks, Montserrat (north microphone)
MBW2,  Waterworks, Montserrat (centre microphone)
MBW3,  Waterworks, Montserrat (south microphone)
PSDMZ, Portsmouth, Dominica
MDCT,  Cottage Hill, Dominica
MDPM,  Portsmouth, Dominica
MDVC,  Vieille Case, Dominica
