# Seismic Stations - locations
# Code,    Lat,            Long,     Elev, Primary,   Date, Source
GVG,    8.084000,      -63.25170,       0,   n,           , Soufriere System file
GVM,    8.300000,      -62.68330,       0,   n,           , Soufriere System file
GVT,    7.933200,      -63.07240,       0,   n,           , Soufriere System file
GWES,  15.556250,      -61.33075,      61,   n,           , Soufriere System file
GWJ,   18.07500,       -76.73800,    1200,   n,           , Soufriere System file
HAU,   48.005556,        6.34806,    5770,   n,           , Soufriere System file
HLV,   11.000000,      -63.91100,     920,   n,           , Soufriere System file
HMG,   15.982330,      -61.70000,     420,   n,           , Soufriere System file
HOBC,   4.354833,      -76.13550,    1180,   n,           , Soufriere System file
HOJ,   18.00200,       -76.75000,     200,   n,           , Soufriere System file
HOP,   18.02200,       -76.75000,     200,   n,           , Soufriere System file
HOQC,   3.468000,      -76.63367,    2220,   n,           , Soufriere System file
HUMP,  18.139722,      -65.84972,     178,   n,           , Soufriere System file
IBAV,  11.821600,      -64.59760,       0,   n,           , Soufriere System file
ICM,   17.893333,      -66.52083,      25,   n,           , Soufriere System file
IDE,   18.385280,      -67.46667,     140,   n,           , Soufriere System file
IECU,  -0.475000,      -78.30667,    3720,   n,           , Soufriere System file
IMO,   18.111500,      -67.90900,      93,   n,           , Soufriere System file
ITEV,  11.355100,      -63.13200,      13,   n,           , Soufriere System file
JACH, -32.681900,      -70.59290,    1075,   n,           , Soufriere System file
JKR,   10.200000,      -60.50000,     400,   n,           , Soufriere System file
JLL,   10.500000,      -60.80000,       8,   n,           , Soufriere System file
KEJ,   12.300400,      -61.63980,    -600,   n,           , Soufriere System file
KIN,   17.97372,       -76.78506,      32,   n,           , Soufriere System file
LACU,   7.876700,      -71.39060,       8,   n,           , Soufriere System file
LADA,   7.939000,      -71.61300,    1200,   n,           , Soufriere System file
LAGU,   9.770000,      -69.76500,     800,   n,           , Soufriere System file
LAM,   14.81133,       -61.16850,    1240,   n,           , Soufriere System file
LAPE,   7.558000,      -71.57560,     327,   n,           , Soufriere System file
LAUD,  15.334020,      -61.34062,     648,   n,           , Soufriere System file
LBF,   46.984444,        3.97722,     715,   n,           , Soufriere System file
LGN,   10.14500,       -71.27000,      -3,   n,           , Soufriere System file
LGNV,  10.145300,      -71.27030,      -3,   n,           , Soufriere System file
LIMP,  15.348750,      -61.37288,     530,   n,           , Soufriere System file
LKG,   16.044700,      -61.65830,    1380,   n,           , Soufriere System file
LLA,   10.469670,      -66.80967,     875,   n,           , Soufriere System file
LLAV,  10.469600,      -66.80970,     875,   n,           , Soufriere System file
LLS,   46.682333,        9.00900,    1900,   n,           , Soufriere System file
LNG,   10.181417,      -61.68825,       0,   n,           , Soufriere System file
LOR,    11.78180,      -66.61820,       0,   n,           , Soufriere System file
LORM,  47.285000,        3.85889,     520,   n,           , Soufriere System file
LORO,  11.957800,      -66.67420,      20,   n,           , Soufriere System file
LPLT,  13.843468,      -60.89676,     115,   n,           , Soufriere System file
LPM,   14.574500,      -60.96630,     130,   n,           , Soufriere System file
LPR,   18.308600,      -65.86970,     580,   n,           , Soufriere System file
LRS,   18.291390,      -66.84472,     460,   n,           , Soufriere System file
LSP,   18.183060,      -67.08778,     390,   n,           , Soufriere System file
MAN,   10.561100,      -64.18880,      15,   n,           , Soufriere System file
MANA,  10.673333,      -62.65200,     840,   n,           , Soufriere System file
MANV,  10.561100,      -64.18880,      10,   n,           , Soufriere System file
MAR,   10.323900,      -67.60690,       0,   n,           , Soufriere System file
MARA,  10.323900,      -67.60790,    1200,   n,           , Soufriere System file
MBET,  16.744000,      -62.16017,     102,   n,           , Soufriere System file
MBGA,  16.710170,      -62.18867,     479,   n,           , Soufriere System file
MBGB,  16.732330,      -62.22783,     253,   n,           , Soufriere System file
MBGH,  16.722500,      -62.20866,     350,   n,           , Soufriere System file
MBJ,   18.402700,      -77.86271,     574,   n,           , Soufriere System file
MBLG,  16.725000,      -62.16233,     287,   n,           , Soufriere System file
MBLY,  16.721330,      -62.19100,     355,   n,           , Soufriere System file
MBMH,  16.776330,      -62.19250,     270,   n,           , Soufriere System file
MBRV,  16.811273,      -62.19608,     231,   n,           , Soufriere System file
MBRY,  16.703830,      -62.15317,     355,   n,           , Soufriere System file
MBSS,  16.687000,      -62.16033,     395,   n,           , Soufriere System file
MBWH,  16.742170,      -62.19083,     407,   n,           , Soufriere System file
MCA,   13.850300,      -61.01900,     615,   n,           , Soufriere System file
MCHV,  13.711670,      -60.94277,       0,   n,           , GPS (Soufriere System file)
